1,Wii Sports,2006,1,1,E
2,Super Mario Bros.,1985,2,1,
3,Mario Kart Wii,2008,3,1,E
4,Wii Sports Resort,2009,1,1,E
5,Pokemon Red/Pokemon Blue,1996,4,1,
6,Tetris,1989,5,1,
7,New Super Mario Bros.,2006,2,1,E
8,Wii Play,2006,6,1,E
9,New Super Mario Bros. Wii,2009,2,1,E
10,Duck Hunt,1984,7,1,
11,Nintendogs,2005,8,1,
12,Mario Kart DS,2005,3,1,E
13,Pokemon Gold/Pokemon Silver,1999,4,1,
14,Wii Fit,2007,1,1,E
15,Kinect Adventures!,2010,6,2,E
16,Wii Fit Plus,2009,1,1,E
17,Grand Theft Auto V,2013,9,3,M
18,Grand Theft Auto: San Andreas,2004,9,3,M
19,Super Mario World,1990,2,1,
20,Brain Age: Train Your Brain in Minutes a Day,2005,6,1,E
21,Pokemon Diamond/Pokemon Pearl,2006,4,1,
22,Super Mario Land,1989,2,1,
23,Super Mario Bros. 3,1988,2,1,
24,Grand Theft Auto: Vice City,2002,9,3,M
25,Pokemon Ruby/Pokemon Sapphire,2002,4,1,
26,Brain Age 2: More Training in Minutes a Day,2005,5,1,E
27,Pokemon Black/Pokemon White,2010,4,1,
28,Gran Turismo 3: A-Spec,2001,3,4,E
29,Pokemon X/Pokemon Y,2013,4,1,
30,Call of Duty: Black Ops 3,2015,7,5,
31,Call of Duty: Modern Warfare 3,2011,7,5,M
32,Call of Duty: Black Ops,2010,7,5,M
33,Pok\xc3\xa9mon Yellow: Special Pikachu Edition,1998,4,1,
34,Call of Duty: Black Ops II,2012,7,5,M
35,Call of Duty: Modern Warfare 2,2009,7,5,M
36,Grand Theft Auto III,2001,9,3,M
37,Mario Kart 7,2011,3,1,E
38,Super Smash Bros. Brawl,2008,10,1,T
39,Animal Crossing: Wild World,2005,8,1,E
40,Halo 3,2007,7,2,M
41,Pokemon Omega Ruby/Pokemon Alpha Sapphire,2014,4,1,
42,Super Mario 64,1996,2,1,
43,Pokemon HeartGold/Pokemon SoulSilver,2009,9,1,
44,Gran Turismo 4,2004,3,4,E
45,Pokemon Sun/Moon,2016,4,1,
46,Super Mario Galaxy,2007,2,1,E
47,Super Mario Land 2: 6 Golden Coins,1992,11,1,
48,Grand Theft Auto IV,2008,9,3,M
49,Gran Turismo,1997,3,4,E
50,Super Mario 3D Land,2011,2,1,E
51,Gran Turismo 5,2010,3,4,E
52,Super Mario All-Stars,1993,2,1,
53,Pokemon FireRed/Pokemon LeafGreen,2004,4,1,
54,Call of Duty: Ghosts,2013,7,5,M
55,Just Dance 3,2011,6,6,E10+
56,New Super Mario Bros. 2,2012,2,1,E
57,Halo: Reach,2010,7,2,M
58,Mario Kart 64,1996,3,1,
59,Halo 4,2012,7,2,M
60,Final Fantasy VII,1997,4,4,T
61,Gran Turismo 2,1999,3,4,T
62,Just Dance 2,2010,6,6,E10+
63,Call of Duty 4: Modern Warfare,2007,7,5,M
64,Animal Crossing: New Leaf,2012,8,1,E
65,Donkey Kong Country,1994,2,1,
66,Minecraft,2013,6,2,
67,FIFA 17,2016,1,7,E
68,Mario Party DS,2007,6,1,E
69,The Elder Scrolls V: Skyrim,2011,4,8,M
70,Super Mario Kart,1992,3,1,
71,FIFA 16,2015,1,7,E
72,Halo 2,2004,7,2,M
73,Wii Party,2010,6,1,E
74,Mario Party 8,2007,6,1,E
75,Star Wars Battlefront (2015),2015,7,7,
76,FIFA Soccer 13,2012,9,7,E
77,GoldenEye 007,1997,7,1,
78,Pokemon Black 2/Pokemon White 2,2012,4,1,
79,Final Fantasy X,2001,4,4,T
80,The Sims 3,2009,8,7,T
81,Mario & Sonic at the Olympic Games,2007,1,9,
82,Final Fantasy VIII,1999,4,10,T
83,Pac-Man,1982,5,11,
84,Pok\xc3\xa9mon Platinum Version,2008,4,1,E
85,Grand Theft Auto: Liberty City Stories,2005,9,3,M
86,Call of Duty: Advanced Warfare,2014,7,5,M
87,Super Smash Bros. for Wii U and 3DS,2014,10,1,
88,The Legend of Zelda: Ocarina of Time,1998,9,1,
89,Crash Bandicoot 2: Cortex Strikes Back,1997,2,4,
90,Super Mario Galaxy 2,2010,2,1,E
91,Super Mario Bros. 2,1988,2,1,
92,Call of Duty: World at War,2008,7,5,M
93,Fallout 4,2015,4,8,M
94,Battlefield 3,2011,7,7,M
95,Uncharted 4: A Thiefs End,2016,7,4,T
96,Mario Kart 8,2014,3,1,E
97,Need for Speed Underground,2003,3,7,E
98,Just Dance,2009,6,6,E10+
99,Tekken 3,1998,10,4,T
100,The Legend of Zelda: Twilight Princess,2006,9,1,T
